,Country,Avg. Likes,Expected Views (Next 90 Days)
0,AE,66715800.21441941,1004693.9195402295
1,AR,8862147.77638191,1004693.9195402295
2,AU,29776135.444444448,1004693.9195402295
3,BR,334595615.39197713,1004693.9195402295
4,BY,766852537.960217,1004693.9195402295
5,CA,40128395.183133006,1004693.9195402295
6,CL,222616795.2,1004693.9195402295
7,CO,8764622.901923077,1004693.9195402295
8,ES,283108596.6092163,1004693.9195402295
9,"ES
",772750483.9378144,1004693.9195402295
10,GB,49790905.3183391,1004693.9195402295
11,ID,156354824.39861682,1004693.9195402295
12,IE,254403463.3402106,1004693.9195402295
13,IN,181239606.26201612,1004693.9195402295
14,KR,564127374.2520695,1004693.9195402295
15,KW,364937178.2542373,1004693.9195402295
16,MX,243058580.93602931,1004693.9195402295
17,NL,78661903.41320294,1004693.9195402295
18,NO,55641776.53846154,1004693.9195402295
19,PH,211396450.97115716,1004693.9195402295
20,PK,118370187.77185751,1004693.9195402295
21,PR,121388866.61017315,1004693.9195402295
22,RU,20035301.573943816,1004693.9195402295
23,SO,58671863.25,1004693.9195402295
24,SV,937427149.875,1004693.9195402295
25,TH,77300482.57230856,1004693.9195402295
26,US,254553069.62189466,1004693.9195402295
27,Unknown,220222269.39004153,1004693.9195402295
