,Country,Likes,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 day,Avg. 60 day
0,AE,66715800.21441941,152244.83333333334,2134569.625,1809830.395348837,2306178.205479452,1676329.8413793102,2295416.1446945337
1,AR,8862147.77638191,1837916.0,1837916.0,4891832.0,7052576.5,12654329.666666666,15722844.705882354
2,AU,29776135.444444448,,586040.0,280127.63636363635,343788.13333333336,353601.8571428572,322033.6101694915
3,BR,334595615.39197713,,,3497395.0,3094440.4,3620273.5,4454119.625
4,BY,766852537.960217,,,29941021.0,29941021.0,29941021.0,53434733.0
5,CA,40128395.183133006,,3946868.0,5829929.0,9480138.25,13756907.666666666,22108751.05263158
6,CL,222616795.2,,,7539489.5,9148087.75,14347388.625,23467097.444444444
7,CO,8764622.901923077,152244.83333333334,2134569.625,1809830.395348837,2306178.205479452,1676329.8413793102,2295416.1446945337
8,ES,283108596.6092163,1837916.0,1837916.0,4891832.0,7052576.5,12654329.666666666,15722844.705882354
9,"ES
",772750483.9378144,,586040.0,280127.63636363635,343788.13333333336,353601.8571428572,322033.6101694915
10,GB,49790905.3183391,,,3497395.0,3094440.4,3620273.5,4454119.625
11,ID,156354824.39861682,,,29941021.0,29941021.0,29941021.0,53434733.0
12,IE,254403463.3402106,,3946868.0,5829929.0,9480138.25,13756907.666666666,22108751.05263158
13,IN,181239606.26201612,,,7539489.5,9148087.75,14347388.625,23467097.444444444
14,KR,564127374.2520695,98427.9375,168984.34831460673,254107.74869109943,260165.9857549857,265323.91715976334,309149.2578680204
15,KW,364937178.2542373,18710.0,1631243.1666666667,1367778.88,1800404.0377358492,2142683.9166666665,1819933.2470588237
16,MX,243058580.93602931,,4354700.0,3010898.0,3141540.75,6909962.375,9793168.6
17,NL,78661903.41320294,60823.0,84666.0,112501.09523809524,170384.58536585365,216460.31764705884,367451.0120481928
18,NO,55641776.53846154,,,,,,3201574.0
19,PH,211396450.97115716,83611.5,104979.63888888888,86986.75,89256.875,201000.32212885155,435703.1469194313
20,PK,118370187.77185751,,,,,,448905.5
21,PR,121388866.61017315,72827.25,112895.18803418805,140187.53731343284,143057.95609756096,216374.80681818185,239781.15518744552
22,RU,20035301.573943816,1411121.0,2239180.5,2239180.5,8688835.4,9949841.945945946,8488977.68
23,SO,58671863.25,1638377.5,3204908.25,6485276.0,4541104.944444444,5417138.3125,5859925.746031746
24,SV,937427149.875,9811.0,15391.75,21584.571428571428,43921.27272727273,477777.3461538461,369797.34146341466
25,TH,77300482.57230856,,222143.57894736843,246071.78,329388.528,315080.81660899654,338680.5290178572
26,US,254553069.62189466,8916.25,16766.81818181818,24047.75,31639.225,38085.36,76050.69718309859
