,Country,Likes,Expected Views 90 Days
0,AE,66715800.21441941,113875906.61134455
1,AR,8862147.77638191,42866885.05714286
2,AU,29776135.444444448,20210407.5
3,BR,334595615.39197713,94489044.38181204
4,BY,766852537.960217,746670811.5721924
5,CA,40128395.183133006,72495730.45669928
6,CL,222616795.2,0.0
7,CO,8764622.901923077,6268509.791666667
8,ES,283108596.6092163,22636170.0
9,"ES
",772750483.9378144,52569286.31487449
10,GB,49790905.3183391,23775644.186507944
11,ID,156354824.39861682,52004353.678023994
12,IE,254403463.3402106,115004038.01562567
13,IN,181239606.26201612,97973505.63172121
14,KR,564127374.2520695,309541157.5362181
15,KW,364937178.2542373,377288347.5
16,MX,243058580.93602931,111856172.38205248
17,NL,78661903.41320294,5754593.940099755
18,NO,55641776.53846154,63478233.333333336
19,PH,211396450.97115716,6552689.818107991
20,PK,118370187.77185751,8821396.26843787
21,PR,121388866.61017315,4593356639.0
22,RU,20035301.573943816,76324023.10334384
23,SO,58671863.25,0.0
24,SV,937427149.875,0.0
25,TH,77300482.57230856,3476467.0890748133
26,US,254553069.62189466,335234513.55289245
