Country,Channel Name,Category,Main Video Category,username,followers,Main topic,More topics,Likes,Boost Index,Engagement Rate,Engagement Rate 60days,Views,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 day,Avg. 60 day,Comments Avg,Youtube Link
IN,T-Series,Gaming & Apps,Music,T-Series,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172.346427,83,0.033463131330938346,0.010879483470807447,195660744416,2095329.131972789,152244.83333333334,2134569.625,1809830.3953488371,2306178.205479452,1676329.8413793102,2295416.1446945337,4493.984145764316,UCq-Fj5jknLsUf-MWSy4_brA
US,ABCkidTV - Nursery Rhymes,Gaming & Apps,Education,ABCkidTV - Nursery Rhymes,138000000,Movies,"Entertainment,Music,Movies",220990134.604534,63,0.6417156982623298,0.11600368388338798,133025325473,70271260.25,1837916.0,1837916.0,4891832.0,7052576.5,12654329.666666666,15722844.705882354,146.70025188916875,UCbCmjCuTUZos6Inko4u57UQ
IN,SET India,Gaming & Apps,Shows,SET India,137000000,Movies,"Entertainment,TV shows,Music,Movies",174875242.59500712,79,0.001206269923031671,0.0023656925348519383,121741739317,109572.8783624031,,586040.0,280127.63636363635,343788.13333333336,353601.85714285716,322033.6101694915,76.24431635100784,UCpEhnqL0y41EpW2TvWAHD7Q
US,PewDiePie,Gaming & Apps,Gaming,PewDiePie,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405541.9968915,88,0.06342612745180413,0.044846075004667876,28424113942,7718344.847222222,,,3497395.0,3094440.4,3620273.5,4454119.625,35839.78134715026,UC-lHJZR3Gqxm24_Vd_AJ5Yw
US,MrBeast,Gaming & Apps,Entertainment,MrBeast,98100000,Lifestyle,"Entertainment,Lifestyle,Technology",1731833460.8526316,60,0.7292095495953983,0.5702702245292129,16242634269,98762497.25,,,29941021.0,29941021.0,29941021.0,53434733.0,113432.37368421053,UCX6OQ3DkcsbYNE6H8uQQuVA
US,Like Nastya,,People & Blogs,Like Nastya,97300000,Hobby,"Lifestyle,Hobby",280877652.3913044,79,1.0267606736835264,0.23138805963853246,80111555805,138163704.5,,3946868.0,5829929.0,9480138.25,13756907.666666666,22108751.05263158,0.2924901185770751,UCJplp5SjeGSdVdwsfb9Q7lQ
US,✿ Kids Diana Show,Gaming & Apps,Entertainment,✿ Kids Diana Show,97200000,Lifestyle,"Lifestyle,Hobby",235190437.5142315,67,0.690341775052514,0.24385312045084417,77340155581,86417353.25,,,7539489.5,9148087.75,14347388.625,23467097.444444444,0.0,UCk8GzjMOrta8yxDcKfylJYw
IN,T-Series,Gaming & Apps,Music,T-Series,220000000,Music of Asia,"Entertainment,Music of Asia,Music,Movies",1602680172.346427,83,0.033463131330938346,0.010879483470807447,195660744416,2095329.131972789,152244.83333333334,2134569.625,1809830.3953488371,2306178.205479452,1676329.8413793102,2295416.1446945337,4493.984145764316,UCq-Fj5jknLsUf-MWSy4_brA
US,ABCkidTV - Nursery Rhymes,Gaming & Apps,Education,ABCkidTV - Nursery Rhymes,138000000,Movies,"Entertainment,Music,Movies",220990134.604534,63,0.6417156982623298,0.11600368388338798,133025325473,70271260.25,1837916.0,1837916.0,4891832.0,7052576.5,12654329.666666666,15722844.705882354,146.70025188916875,UCbCmjCuTUZos6Inko4u57UQ
IN,SET India,Gaming & Apps,Shows,SET India,137000000,Movies,"Entertainment,TV shows,Music,Movies",174875242.59500712,79,0.001206269923031671,0.0023656925348519383,121741739317,109572.8783624031,,586040.0,280127.63636363635,343788.13333333336,353601.85714285716,322033.6101694915,76.24431635100784,UCpEhnqL0y41EpW2TvWAHD7Q
US,PewDiePie,Gaming & Apps,Gaming,PewDiePie,111000000,Lifestyle,"Gaming,Action game,Lifestyle,Action-adventure game",2191405541.9968915,88,0.06342612745180413,0.044846075004667876,28424113942,7718344.847222222,,,3497395.0,3094440.4,3620273.5,4454119.625,35839.78134715026,UC-lHJZR3Gqxm24_Vd_AJ5Yw
US,MrBeast,Gaming & Apps,Entertainment,MrBeast,98100000,Lifestyle,"Entertainment,Lifestyle,Technology",1731833460.8526316,60,0.7292095495953983,0.5702702245292129,16242634269,98762497.25,,,29941021.0,29941021.0,29941021.0,53434733.0,113432.37368421053,UCX6OQ3DkcsbYNE6H8uQQuVA
US,Like Nastya,,People & Blogs,Like Nastya,97300000,Hobby,"Lifestyle,Hobby",280877652.3913044,79,1.0267606736835264,0.23138805963853246,80111555805,138163704.5,,3946868.0,5829929.0,9480138.25,13756907.666666666,22108751.05263158,0.2924901185770751,UCJplp5SjeGSdVdwsfb9Q7lQ
US,✿ Kids Diana Show,Gaming & Apps,Entertainment,✿ Kids Diana Show,97200000,Lifestyle,"Lifestyle,Hobby",235190437.5142315,67,0.690341775052514,0.24385312045084417,77340155581,86417353.25,,,7539489.5,9148087.75,14347388.625,23467097.444444444,0.0,UCk8GzjMOrta8yxDcKfylJYw
,WWE,Sports,Sports,WWE,89400000,Lifestyle,"Entertainment,Lifestyle,Professional wrestling,Sports,Performing arts",543800874.2871623,80,0.004329158472617156,0.003562268335218684,69794363750,392017.6973411395,98427.9375,168984.34831460673,254107.74869109946,260165.98575498574,265323.91715976334,309149.25786802033,589.7659726027397,UCJ5v_MCY6GNUBTO8-D3XoAg
IN,Zee Music Company,Music,Music,Zee Music Company,85500000,Pop music,"Music of Asia,Music,Pop music",210395355.2550753,76,0.029939415466747814,0.02168758554026604,48162039794,1106508.6933333331,18710.0,1631243.1666666667,1367778.88,1800404.0377358492,2142683.9166666665,1819933.2470588235,1771.2442698100851,UCFFbwnve3yF62-tVXkTyHqg
US,Vlad and Niki,,Entertainment,Vlad and Niki,83500000,Hobby,"Lifestyle,Hobby",146245435.4059406,82,0.9763812137605976,0.1210662691172111,65143080313,108949716.5,,4354700.0,3010898.0,3141540.75,6909962.375,9793168.6,0.0,UCvlE5gTbOvjiolFlEm-c_Ow
US,5-Minute Crafts,Gaming & Apps,Howto & Style,5-Minute Crafts,77000000,Lifestyle,"Lifestyle,Hobby",158230212.5052886,73,0.030060771053364892,0.0051561705182931634,22655274758,2045771.3664874553,60823.0,84666.0,112501.09523809524,170384.58536585365,216460.31764705884,367451.0120481928,726.3124811121185,UC295-Dw_tDNtZXFeAPAW6Aw
